FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/27/26 23:47:00.713518592
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:scaledGyroX,inertial-6286.188861:scaledGyroY,inertial-6286.188861:scaledGyroZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid
1777333642575834368,,,,,,,0.3613389730453491,1,0.1939330101013184,1,0.03997115045785904,1
1777333642583538944,0.04115322977304459,0.0100474813953042,-0.9957447648048401,0.001502960687503219,-0.003273131791502237,-0.0009185895323753357,,,,,,
1777333642585752832,,,,,,,0.3366970717906952,1,0.1248633712530136,1,0.04146498069167137,1
1777333642593442304,0.02220089733600616,0.01464714668691158,-0.996653139591217,0.003416524268686771,-0.001849629450589418,0.01318949274718761,,,,,,
1777333642595651840,,,,,,,0.1510882079601288,1,0.1701839566230774,1,0.03255809098482132,1
1777333642603326720,0.0486011877655983,0.02111338824033737,-0.9965798854827881,0.009106057696044445,-0.001993459416553378,-0.01579823344945908,,,,,,
1777333642605658368,,,,,,,0.41004478931427,1,0.2341552972793579,1,0.03327516093850136,1
1777333642613444352,0.02733965404331684,0.01519846543669701,-0.9955822229385376,0.01351127494126558,-0.003950027748942375,-0.0444636344909668,,,,,,
1777333642615771392,,,,,,,0.2018765807151794,1,0.1773822009563446,1,0.04305827990174294,1
1777333642623542016,0.01788695342838764,0.001158313127234578,-0.9945026636123657,0.004470374435186386,-0.00222350750118494,-0.04980715736746788,,,,,,
1777333642625864704,,,,,,,0.1095070391893387,1,0.04039208963513374,1,0.05364509299397469,1
1777333642633619968,0.02180249243974686,0.0005110141355544329,-0.9975846409797668,0.003501314204186201,0.0004540758673101664,-0.06498394906520844,,,,,,
1777333642635937792,,,,,,,0.1479365229606628,1,0.03434969484806061,1,0.02342086285352707,1
1777333642643677696,0.01818233355879784,-0.008616410195827484,-0.994597852230072,0.00714216148480773,1.171625626739115e-05,-0.06559327989816666,,,,,,
1777333642645991168,,,,,,,0.1124455258250237,1,-0.05455131456255913,1,0.05270889773964882,1
1777333642653715968,0.03514886274933815,-0.007833783514797688,-0.9953813552856445,0.005041192285716534,-0.003165086964145303,-0.0556822307407856,,,,,,
1777333642656024832,,,,,,,0.2789913415908813,1,-0.04628818109631538,1,0.0450240932404995,1
1777333642663734272,0.02949120849370956,0.002339832484722137,-0.9941750764846802,0.002934326883405447,-0.002460294403135777,-0.0490303747355938,,,,,,
1777333642666038784,,,,,,,0.2237734794616699,1,0.05373397469520569,1,0.05685526132583618,1
1777333642673732864,0.02065293490886688,0.01016510650515556,-0.9958794116973877,0.00420684227719903,0.0003176307072862983,-0.04004077240824699,,,,,,
1777333642676032768,,,,,,,0.137204110622406,1,0.130792424082756,1,0.04014062881469727,1
1777333642683711488,0.01664010249078274,-0.005185747519135475,-0.9940739870071411,0.001006733276881278,0.0002897034282796085,-0.01440745778381824,,,,,,
1777333642686007040,,,,,,,0.09780966490507126,1,-0.01954142935574055,1,0.05784519761800766,1
1777333642693670656,0.02532052248716354,-0.01344589982181787,-0.9964671730995178,0.0005441843532025814,0.0006163476500660181,0.01702852547168732,,,,,,
1777333642695961600,,,,,,,0.1829345673322678,1,-0.100451722741127,1,0.0343758650124073,1
1777333642703609856,0.01848017796874046,-0.01994446106255054,-0.9955163598060608,0.003548701293766499,0.0006918322760611773,0.04863455146551132,,,,,,
1777333642705896192,,,,,,,0.1158666685223579,1,-0.1638838797807693,1,0.04369904473423958,1
1777333642713529088,0.006747054401785135,-0.01571529172360897,-0.994073748588562,9.123398922383785e-05,0.002240127185359597,0.05286093801259995,,,,,,
1777333642715811072,,,,,,,0.0006637014448642731,1,-0.1221927255392075,1,0.05784615129232407,1
1777333642723428864,0.01137263607233763,-0.02451062947511673,-0.9943165183067322,0.002279403153806925,0.001720601809211075,0.05454300716519356,,,,,,
1777333642725706496,,,,,,,0.04579372331500053,1,-0.2083729803562164,1,0.05546379461884499,1
1777333642733309184,-0.0003652484156191349,-0.01175064779818058,-0.9948087930679321,-0.001389122800901532,0.00215914798900485,0.05202765390276909,,,,,,
1777333642735582208,,,,,,,-0.06963524967432022,1,-0.08348185569047928,1,0.05063445866107941,1
1777333642743303168,0.02513296157121658,-0.00854428019374609,-0.9991554617881775,-0.007040405180305243,0.004483147989958525,0.04217325150966644,,,,,,
1777333642745705472,,,,,,,0.18004110455513,1,-0.05252943560481071,1,0.008006498217582703,1
1777333642753411072,0.007281564176082611,-0.005696461535990238,-0.9967523813247681,0.006581881549209356,-0.002829315606504679,0.03483633697032928,,,,,,
1777333642755808512,,,,,,,0.004966780543327332,1,-0.02445273101329803,1,0.0315721407532692,1
1777333642763499008,0.03070508502423763,0.004205947741866112,-0.9960654973983765,0.0003015891124960035,-0.0009460076689720154,0.02082514390349388,,,,,,
1777333642765891840,,,,,,,0.2348324209451675,1,0.07290574908256531,1,0.03830887377262115,1
1777333642773566976,0.032343540340662,-0.001330077182501554,-0.9957139492034912,0.004080546088516712,-0.001309869112446904,0.02162447944283485,,,,,,
1777333642775954944,,,,,,,0.2510215938091278,1,0.01890119165182114,1,0.04175644740462303,1
