time(ms),VPWR(V),VSS(km/h),timestamp_gmt,t_s
1779393661156,13.55,9.0,2026-05-21 20:01:01.156000+00:00,4.145
1779393661171,13.55,9.0,2026-05-21 20:01:01.171000+00:00,4.16
1779393661189,13.55,9.0,2026-05-21 20:01:01.189000+00:00,4.178
1779393661204,13.55,9.0,2026-05-21 20:01:01.204000+00:00,4.193
1779393661222,13.55,9.0,2026-05-21 20:01:01.222000+00:00,4.211
1779393661237,13.55,9.0,2026-05-21 20:01:01.237000+00:00,4.226
1779393661253,13.55,9.0,2026-05-21 20:01:01.253000+00:00,4.242
1779393661270,13.55,9.0,2026-05-21 20:01:01.270000+00:00,4.259
1779393661286,13.54,9.0,2026-05-21 20:01:01.286000+00:00,4.275
1779393661301,13.55,9.0,2026-05-21 20:01:01.301000+00:00,4.29
1779393661318,13.55,9.0,2026-05-21 20:01:01.318000+00:00,4.307
1779393661332,13.55,9.0,2026-05-21 20:01:01.332000+00:00,4.321
1779393661348,13.55,9.0,2026-05-21 20:01:01.348000+00:00,4.337
1779393661365,13.55,9.0,2026-05-21 20:01:01.365000+00:00,4.354
1779393661380,13.54,9.0,2026-05-21 20:01:01.380000+00:00,4.369
1779393661397,13.54,9.0,2026-05-21 20:01:01.397000+00:00,4.386
1779393661414,13.54,9.0,2026-05-21 20:01:01.414000+00:00,4.403
1779393661430,13.54,9.0,2026-05-21 20:01:01.430000+00:00,4.419
1779393661445,13.54,9.0,2026-05-21 20:01:01.445000+00:00,4.434
1779393661462,13.55,9.0,2026-05-21 20:01:01.462000+00:00,4.451
1779393661476,13.55,9.0,2026-05-21 20:01:01.476000+00:00,4.465
1779393661494,13.55,9.0,2026-05-21 20:01:01.494000+00:00,4.483
1779393661509,13.55,11.0,2026-05-21 20:01:01.509000+00:00,4.498
1779393661524,13.55,12.0,2026-05-21 20:01:01.524000+00:00,4.513
1779393661540,13.55,12.0,2026-05-21 20:01:01.540000+00:00,4.529
1779393661556,13.55,12.0,2026-05-21 20:01:01.556000+00:00,4.545
1779393661574,13.54,12.0,2026-05-21 20:01:01.574000+00:00,4.563
1779393661589,13.55,12.0,2026-05-21 20:01:01.589000+00:00,4.578
1779393661605,13.55,12.0,2026-05-21 20:01:01.605000+00:00,4.594
1779393661621,13.55,12.0,2026-05-21 20:01:01.621000+00:00,4.61
1779393661636,13.54,12.0,2026-05-21 20:01:01.636000+00:00,4.625
1779393661654,13.54,12.0,2026-05-21 20:01:01.654000+00:00,4.643
1779393661668,13.54,12.0,2026-05-21 20:01:01.668000+00:00,4.657
1779393661686,13.54,12.0,2026-05-21 20:01:01.686000+00:00,4.675
1779393661702,13.54,12.0,2026-05-21 20:01:01.702000+00:00,4.691
1779393661716,13.55,12.0,2026-05-21 20:01:01.716000+00:00,4.705
1779393661734,13.55,12.0,2026-05-21 20:01:01.734000+00:00,4.723
1779393661749,13.55,12.0,2026-05-21 20:01:01.749000+00:00,4.738
1779393661766,13.55,12.0,2026-05-21 20:01:01.766000+00:00,4.755
1779393661781,13.55,12.0,2026-05-21 20:01:01.781000+00:00,4.77
1779393661797,13.55,12.0,2026-05-21 20:01:01.797000+00:00,4.786
1779393661813,13.55,12.0,2026-05-21 20:01:01.813000+00:00,4.802
1779393661829,13.54,12.0,2026-05-21 20:01:01.829000+00:00,4.818
1779393661847,13.54,12.0,2026-05-21 20:01:01.847000+00:00,4.836
1779393661862,13.54,12.0,2026-05-21 20:01:01.862000+00:00,4.851
1779393661877,13.55,12.0,2026-05-21 20:01:01.877000+00:00,4.866
1779393661893,13.55,12.0,2026-05-21 20:01:01.893000+00:00,4.882
1779393661910,13.55,12.0,2026-05-21 20:01:01.910000+00:00,4.899
1779393661925,13.55,12.0,2026-05-21 20:01:01.925000+00:00,4.914
1779393661942,13.55,12.0,2026-05-21 20:01:01.942000+00:00,4.931
1779393661957,13.55,12.0,2026-05-21 20:01:01.957000+00:00,4.946
1779393661972,13.55,12.0,2026-05-21 20:01:01.972000+00:00,4.961
1779393661989,13.54,13.0,2026-05-21 20:01:01.989000+00:00,4.978
1779393662004,13.54,14.0,2026-05-21 20:01:02.004000+00:00,4.993
1779393662022,13.54,14.0,2026-05-21 20:01:02.022000+00:00,5.011
1779393662037,13.55,14.0,2026-05-21 20:01:02.037000+00:00,5.026
1779393662053,13.55,14.0,2026-05-21 20:01:02.053000+00:00,5.042
1779393662070,13.55,14.0,2026-05-21 20:01:02.070000+00:00,5.059
1779393662085,13.55,14.0,2026-05-21 20:01:02.085000+00:00,5.074
1779393662102,13.55,14.0,2026-05-21 20:01:02.102000+00:00,5.091
1779393662118,13.54,14.0,2026-05-21 20:01:02.118000+00:00,5.107
1779393662132,13.54,14.0,2026-05-21 20:01:02.132000+00:00,5.121
1779393662151,13.54,14.0,2026-05-21 20:01:02.151000+00:00,5.14
1779393662164,13.54,14.0,2026-05-21 20:01:02.164000+00:00,5.153
1779393662182,13.54,14.0,2026-05-21 20:01:02.182000+00:00,5.171
1779393662197,13.54,14.0,2026-05-21 20:01:02.197000+00:00,5.186
1779393662213,13.54,14.0,2026-05-21 20:01:02.213000+00:00,5.202
1779393662228,13.55,14.0,2026-05-21 20:01:02.228000+00:00,5.217
1779393662245,13.55,14.0,2026-05-21 20:01:02.245000+00:00,5.234
1779393662261,13.55,14.0,2026-05-21 20:01:02.261000+00:00,5.25
1779393662278,13.54,14.0,2026-05-21 20:01:02.278000+00:00,5.267
1779393662293,13.54,14.0,2026-05-21 20:01:02.293000+00:00,5.282
1779393662308,13.54,14.0,2026-05-21 20:01:02.308000+00:00,5.297
1779393662325,13.54,14.0,2026-05-21 20:01:02.325000+00:00,5.314
1779393662341,13.54,14.0,2026-05-21 20:01:02.341000+00:00,5.33
1779393662359,13.54,14.0,2026-05-21 20:01:02.359000+00:00,5.348
1779393662373,13.54,14.0,2026-05-21 20:01:02.373000+00:00,5.362
1779393662389,13.55,14.0,2026-05-21 20:01:02.389000+00:00,5.378
1779393662406,13.55,14.0,2026-05-21 20:01:02.406000+00:00,5.395
1779393662422,13.55,14.0,2026-05-21 20:01:02.422000+00:00,5.411
1779393662436,13.54,14.0,2026-05-21 20:01:02.436000+00:00,5.425
1779393662455,13.54,14.0,2026-05-21 20:01:02.455000+00:00,5.444
1779393662471,13.54,14.0,2026-05-21 20:01:02.471000+00:00,5.46
1779393662486,13.54,14.0,2026-05-21 20:01:02.486000+00:00,5.475
1779393662502,13.54,14.0,2026-05-21 20:01:02.502000+00:00,5.491
1779393662520,13.53,14.0,2026-05-21 20:01:02.520000+00:00,5.509
1779393662533,13.52,14.0,2026-05-21 20:01:02.533000+00:00,5.522
1779393662550,13.52,14.0,2026-05-21 20:01:02.550000+00:00,5.539
1779393662566,13.52,14.0,2026-05-21 20:01:02.566000+00:00,5.555
1779393662582,13.52,14.0,2026-05-21 20:01:02.582000+00:00,5.571
1779393662597,13.52,14.0,2026-05-21 20:01:02.597000+00:00,5.586
1779393662615,13.53,14.0,2026-05-21 20:01:02.615000+00:00,5.604
