FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estFilterState,Timeseries,100Hz,,,,,,
inertial-6286.188861:estFilterStatusFlags,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid,inertial-6286.188861:estFilterState,inertial-6286.188861:estFilterStatusFlags,inertial-6286.188861:estGravityVectorX,inertial-6286.188861:estGravityVectorX:valid,inertial-6286.188861:estGravityVectorY,inertial-6286.188861:estGravityVectorY:valid,inertial-6286.188861:estGravityVectorZ,inertial-6286.188861:estGravityVectorZ:valid
1778106286893112064,-0.01653309166431427,-0.0418960340321064,-0.994945228099823,-0.0001673139922786504,-0.0004204358556307852,-0.009952456690371037,,,,,,,,,,,,,,,,,,,,
1778106286902060800,,,,,,,-0.0019480986520648,1,-0.03008954599499702,1,0.03264928236603737,1,0.007658668328076601,1,0.0005357589107006788,1,-0.0007673607324250042,1,3,1,0.1595352739095688,1,0.3972903192043304,1,9.797300338745117,1
1778106286903016448,-0.0163756962865591,-0.04248246178030968,-0.9958823919296265,-0.0001617332600289956,-0.000431028485763818,-0.009968696162104607,,,,,,,,,,,,,,,,,,,,
1778106286911947776,,,,,,,-0.002697439631447196,1,-0.03243383765220642,1,0.03732091933488846,1,0.006617846433073282,1,-0.0005561860161833465,1,-0.0009443289018236101,1,3,1,0.1595935225486755,1,0.3979313671588898,1,9.797273635864258,1
1778106286912901120,-0.01648983918130398,-0.04345190897583961,-0.9957220554351807,-0.0001662403374211863,-0.0004449717816896737,-0.009956421330571175,,,,,,,,,,,,,,,,,,,,
1778106286921815040,,,,,,,-0.003654750995337963,1,-0.03438921645283699,1,0.04494123533368111,1,0.005436394829303026,1,-6.607241812162101e-05,1,-0.0005836654454469681,1,3,1,0.1596451103687286,1,0.3984660804271698,1,9.797250747680664,1
1778106286922766592,-0.01655734702944756,-0.04376764222979546,-0.995242714881897,-0.0001673542137723416,-0.0004408515815157443,-0.009946820326149464,,,,,,,,,,,,,,,,,,,,
1778106286931848704,,,,,,,-0.0002102090656990185,1,-0.02500671148300171,1,0.04718578979372978,1,0.005307712592184544,1,0.0005309453699737787,1,-0.0001593595079611987,1,3,1,0.1595677882432938,1,0.3990057110786438,1,9.797229766845703,1
1778106286932612096,-0.0166535098105669,-0.04403583705425262,-0.9944629073143005,-0.0001679400011198595,-0.0004440051561687142,-0.009935818612575531,,,,,,,,,,,,,,,,,,,,
1778106286942048512,,,,,,,0.001213081064634025,1,-0.01410969998687506,1,0.04298720881342888,1,0.005437043029814959,1,0.0004569317679852247,1,-0.0004497761256061494,1,3,1,0.1595121175050735,1,0.3995490074157715,1,9.797208786010742,1
1778106286942438400,-0.01629919931292534,-0.04314158856868744,-0.9942315220832825,-0.0001588777231518179,-0.0004211201448924839,-0.009939300827682018,,,,,,,,,,,,,,,,,,,,
1778106286952228352,,,,,,,-7.556369382655248e-05,1,-0.003095563966780901,1,0.03939785808324814,1,0.007379420101642609,1,-0.000178864152985625,1,-0.0002850254531949759,1,3,1,0.1595108509063721,1,0.4002576768398285,1,9.79718017578125,1
1778106286952616960,-0.01614947803318501,-0.04208946228027344,-0.9946573972702026,-0.0001599979150341824,-0.0004088195855729282,-0.009951235726475716,,,,,,,,,,,,,,,,,,,,
1778106286962387968,,,,,,,-0.003359355265274644,1,-0.0008776735048741102,1,0.04081577435135841,1,0.00739624910056591,1,-6.670448055956513e-05,1,-0.0003929421072825789,1,3,1,0.1594991534948349,1,0.4009629189968109,1,9.797151565551758,1
1778106286962775552,-0.01627698540687561,-0.04102736711502075,-0.9950209259986877,-0.0001641699927859008,-0.000397571682697162,-0.009955010376870632,,,,,,,,,,,,,,,,,,,,
