unix_time_ms,GPS_ts_week,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag_sensor,flag_filter
1779139813380.000000000,2419,163831.380000000,3,0.996867537,-0.012338451,-0.013830003,0.076886959,1,1
1779139813390.000000000,2419,163831.390000000,3,0.996828496,-0.012299147,-0.013795988,0.077404410,1,1
1779139813410.000000000,2419,163831.410000000,3,0.997123718,-0.012430883,-0.013981016,0.073445596,1,1
1779139813420.000000000,2419,163831.420000000,3,0.997026920,-0.012369072,-0.014173144,0.074722528,1,1
1779139813440.000000000,2419,163831.440000000,3,0.997199833,-0.012178180,-0.014593866,0.072327502,1,1
1779139813450.000000000,2419,163831.450000000,3,0.997276187,-0.011911006,-0.014904367,0.071248181,1,1
1779139813460.000000000,2419,163831.460000000,3,0.997104287,-0.011689049,-0.015270596,0.073575519,1,1
1779139813480.000000000,2419,163831.480000000,3,0.997134566,-0.011405712,-0.016205136,0.073006265,1,1
1779139813490.000000000,2419,163831.490000000,3,0.997040749,-0.011395294,-0.016671972,0.074175328,1,1
1779139813510.000000000,2419,163831.510000000,3,0.997102141,-0.011469166,-0.017675431,0.073097922,1,1
1779139813520.000000000,2419,163831.520000000,3,0.997286916,-0.011547900,-0.018122716,0.070406839,1,1
1779139813540.000000000,2419,163831.540000000,3,0.997137845,-0.011347123,-0.019147571,0.072255448,1,1
1779139813550.000000000,2419,163831.550000000,3,0.997113824,-0.011127121,-0.019473368,0.072533004,1,1
1779139813570.000000000,2419,163831.570000000,3,0.997060180,-0.010549829,-0.020147478,0.073169731,1,1
1779139813580.000000000,2419,163831.580000000,3,0.997120976,-0.010275107,-0.020433368,0.072296374,1,1
1779139813600.000000000,2419,163831.600000000,3,0.997191370,-0.009556582,-0.020610100,0.071367502,1,1
1779139813610.000000000,2419,163831.610000000,3,0.997147143,-0.009165255,-0.020599009,0.072037272,1,1
1779139813620.000000000,2419,163831.620000000,3,0.997107923,-0.008858912,-0.020592999,0.072618030,1,1
1779139813640.000000000,2419,163831.640000000,3,0.997080326,-0.008716410,-0.020494070,0.073039807,1,1
1779139813650.000000000,2419,163831.650000000,3,0.996945024,-0.008788592,-0.020410193,0.074879095,1,1
1779139813670.000000000,2419,163831.670000000,3,0.997040331,-0.009427543,-0.020171307,0.073585778,1,1
1779139813680.000000000,2419,163831.680000000,3,0.997177541,-0.009819514,-0.019693565,0.071782596,1,1
1779139813700.000000000,2419,163831.700000000,3,0.997170329,-0.010246806,-0.018999375,0.072009899,1,1
1779139813710.000000000,2419,163831.710000000,3,0.997171760,-0.010161757,-0.018541016,0.072122030,1,1
1779139813730.000000000,2419,163831.730000000,3,0.997059524,-0.009531172,-0.017651554,0.073959179,1,1
1779139813740.000000000,2419,163831.740000000,3,0.997244835,-0.009148819,-0.017107029,0.071599871,1,1
1779139813750.000000000,2419,163831.750000000,3,0.997120261,-0.008821161,-0.016698407,0.073448114,1,1
1779139813770.000000000,2419,163831.770000000,3,0.997058392,-0.008694877,-0.015673401,0.074521430,1,1
1779139813780.000000000,2419,163831.780000000,3,0.997248590,-0.008784457,-0.015147974,0.072032206,1,1
1779139813800.000000000,2419,163831.800000000,3,0.997218847,-0.009067164,-0.014269556,0.072586358,1,1
