unix_time_ms,fGPS_ts_week,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag_sensor,flag_filter
1779139798220.000000000,2419,163816.220000000,3,0.998948991,-0.012890364,0.005847937,-0.043595050,1,1,1
1779139798240.000000000,2419,163816.240000000,3,0.998826087,-0.013123686,0.005632402,-0.046287477,1,1,1
1779139798250.000000000,2419,163816.250000000,3,0.998762429,-0.013240661,0.005663398,-0.047605302,1,1,1
1779139798270.000000000,2419,163816.270000000,3,0.998635173,-0.013462023,0.005656006,-0.050145075,1,1,1
1779139798280.000000000,2419,163816.280000000,3,0.998572767,-0.013488515,0.005680160,-0.051363483,1,1,1
1779139798290.000000000,2419,163816.290000000,3,0.998511851,-0.013475379,0.005751997,-0.052530445,1,1,1
1779139798310.000000000,2419,163816.310000000,3,0.998396039,-0.013417778,0.005803540,-0.054695703,1,1,1
1779139798320.000000000,2419,163816.320000000,3,0.998340249,-0.013336593,0.005920751,-0.055711478,1,1,1
1779139798340.000000000,2419,163816.340000000,3,0.998226702,-0.013367480,0.006051989,-0.057689928,1,1,1
1779139798350.000000000,2419,163816.350000000,3,0.998168945,-0.013403574,0.006067021,-0.058670651,1,1,1
1779139798370.000000000,2419,163816.370000000,3,0.998047769,-0.013885576,0.005960612,-0.060599357,1,1,1
1779139798380.000000000,2419,163816.380000000,3,0.997989297,-0.014043706,0.005777575,-0.061536886,1,1,1
1779139798400.000000000,2419,163816.400000000,3,0.997881949,-0.014244807,0.005462541,-0.063236222,1,1,1
1779139798410.000000000,2419,163816.410000000,3,0.997837365,-0.014204080,0.005232651,-0.063964084,1,1,1
1779139798430.000000000,2419,163816.430000000,3,0.997760653,-0.014029322,0.004735583,-0.065225609,1,1,1
1779139798440.000000000,2419,163816.440000000,3,0.997726440,-0.013968743,0.004506685,-0.065775953,1,1,1
1779139798450.000000000,2419,163816.450000000,3,0.997692704,-0.013892545,0.004214088,-0.066321246,1,1,1
1779139798470.000000000,2419,163816.470000000,3,0.997623086,-0.013858980,0.003653758,-0.067400135,1,1,1
1779139798480.000000000,2419,163816.480000000,3,0.997586429,-0.013891065,0.003386708,-0.067947827,1,1,1
1779139798490.000000000,2419,163816.490000000,3,0.997550070,-0.013906276,0.003091440,-0.068490304,1,1,1
1779139798500.000000000,2419,163816.500000000,3,0.997515500,-0.013949944,0.002802868,-0.068995371,1,1,1
1779139798510.000000000,2419,163816.510000000,3,0.997481525,-0.014042184,0.002585658,-0.069474518,1,1,1
1779139798530.000000000,2419,163816.530000000,3,0.997423589,-0.014060695,0.002118405,-0.070313439,1,1,1
1779139798540.000000000,2419,163816.540000000,3,0.997399211,-0.014033713,0.001854215,-0.070671074,1,1,1
1779139798560.000000000,2419,163816.560000000,3,0.997360289,-0.013816685,0.001434386,-0.071270704,1,1,1
1779139798570.000000000,2419,163816.570000000,3,0.997341812,-0.013703370,0.001223437,-0.071554281,1,1,1
1779139798580.000000000,2419,163816.580000000,3,0.997323811,-0.013582250,0.000991295,-0.071831733,1,1,1
