unix_time_ms,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag
1779390501452,414519.452000000,0.029357949,-0.215059787,-0.974376500,0.000260950,-0.002220762,-0.009699052,-0.096001953,-1.783422709,0.238351405,1,-0.008317482,0.010388176,-0.474529743,1,-0.384720951,0.324754506,9.793717384,1,1
1779390501462,414519.462000000,0.022965711,-0.211265072,-1.049397111,0.000252490,-0.002064802,-0.010327446,-0.159445584,-1.748516083,-0.497302234,1,-0.016193541,-0.015452594,-0.475606769,1,-0.384670258,0.322199583,9.793804169,1,1
1779390501482,414519.482000000,0.002286597,-0.205094323,-0.981409609,-0.000086318,-0.002075268,-0.009925948,-0.368654966,-1.697843075,0.169492140,1,-0.028460950,0.022671450,-0.472833931,1,-0.392257661,0.311969787,9.793834686,1,1
1779390501492,414519.492000000,-0.009424810,-0.196380436,-1.025835752,0.000033174,-0.002003978,-0.010049092,-0.483384520,-1.616356254,-0.266047597,1,-0.014834328,-0.038966548,-0.477349341,1,-0.390214384,0.308421314,9.794028282,1,1
1779390501512,414519.512000000,0.026431754,-0.213566944,-0.991846085,0.000135856,-0.002152739,-0.009967177,-0.135769010,-1.791523814,0.067324102,1,-0.022051506,0.021744013,-0.470448732,1,-0.396107674,0.301573932,9.794005394,1,1
1779390501522,414519.522000000,0.030722827,-0.175830022,-0.996487021,0.000428561,-0.001787129,-0.009891202,-0.094310135,-1.425692439,0.021916620,1,-0.019334484,-0.027002180,-0.478603214,1,-0.395211548,0.297405750,9.794168472,1,1
1779390501532,414519.532000000,0.034511551,-0.186704129,-1.029019117,0.000258671,-0.001871811,-0.010308955,-0.057019874,-1.535751462,-0.297005087,1,-0.019366207,-0.003895445,-0.479633540,1,-0.395792127,0.293983132,9.794248581,1,1
1779390501552,414519.552000000,0.039107293,-0.170592159,-0.970738053,0.000382370,-0.001645557,-0.009669072,-0.014271528,-1.385154009,0.274662822,1,-0.019688271,-0.024934111,-0.483415186,1,-0.397448838,0.286557674,9.794401169,1,1
1779390501562,414519.562000000,-0.013284922,-0.192123324,-0.993694663,-0.000082496,-0.001941051,-0.009894046,-0.526108563,-1.599208713,0.049699701,1,0.002459797,-0.026663585,-0.487343878,1,-0.395438731,0.284340292,9.794548035,1,1
1779390501582,414519.582000000,0.007616044,-0.165324196,-0.922480345,0.000106393,-0.001671846,-0.009273123,-0.321915478,-1.341807485,0.748198092,1,-0.028106816,-0.023525581,-0.483936369,1,-0.396300763,0.277981848,9.794694901,1,1
