FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estRoll,Timeseries,100Hz,,,,,,
inertial-6286.188861:estRoll:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estPitch,Timeseries,100Hz,,,,,,
inertial-6286.188861:estPitch:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estYaw,Timeseries,100Hz,,,,,,
inertial-6286.188861:estYaw:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:estRoll,inertial-6286.188861:estRoll:valid,inertial-6286.188861:estPitch,inertial-6286.188861:estPitch:valid,inertial-6286.188861:estYaw,inertial-6286.188861:estYaw:valid
1777498967702060288,0.0001976733910851181,1,-0.00790740828961134,1,2.186234951019287,1
1777498967712172800,0.0002065881708404049,1,-0.007914161309599876,1,2.186249732971191,1
1777498967722266112,0.0002097717951983213,1,-0.007921468466520309,1,2.186269998550415,1
1777498967732339712,0.0002100097772199661,1,-0.007898150943219662,1,2.186274766921997,1
1777498967742393856,0.0001821439218474552,1,-0.007907525636255741,1,2.18628454208374,1
1777498967752428800,0.0001778422592906281,1,-0.007891824468970299,1,2.18628454208374,1
1777498967762444288,0.0002005278511205688,1,-0.007908935658633709,1,2.186277151107788,1
1777498967772440320,0.0001964486291399226,1,-0.007905616424977779,1,2.186267852783203,1
1777498967782417408,0.0001934764732141048,1,-0.007915446534752846,1,2.186253309249878,1
1777498967792375552,0.0001671356440056115,1,-0.007901476696133614,1,2.18623423576355,1
1777498967802314496,0.0001675305247772485,1,-0.007910109125077724,1,2.186226367950439,1
1777498967812234240,0.0001620923721930012,1,-0.007915292866528034,1,2.186224460601807,1
1777498967822134784,0.0001597684022272006,1,-0.007917170412838459,1,2.186233282089233,1
1777498967832016128,0.0001600197429070249,1,-0.007923704572021961,1,2.18624210357666,1
1777498967841878272,0.0001564538397360593,1,-0.007921907119452953,1,2.186249017715454,1
1777498967851721984,0.0001459018385503441,1,-0.007921786047518253,1,2.18625020980835,1
1777498967861547264,0.0001465369568904862,1,-0.007919374853372574,1,2.186250448226929,1
1777498967871361792,0.0001497182965977117,1,-0.007924112491309643,1,2.186244487762451,1
1777498967881157632,0.0001729564683046192,1,-0.00792533066123724,1,2.186238527297974,1
1777498967891161088,0.0001681768335402012,1,-0.007981631904840469,1,2.186244487762451,1
1777498967901371136,0.0002882262924686074,1,-0.007960639894008636,1,2.186221837997437,1
1777498967911560960,0.0001751352974679321,1,-0.007891252636909485,1,2.186245679855347,1
1777498967921731584,0.0001427121460437775,1,-0.007909798994660378,1,2.186221122741699,1
1777498967931882240,0.0001348018122371286,1,-0.007910797372460365,1,2.186221599578857,1
1777498967942013440,0.0001564785779919475,1,-0.007900876924395561,1,2.186217546463013,1
1777498967952124672,0.0001655096712056547,1,-0.007927174679934978,1,2.18622612953186,1
1777498967962216448,0.0001739751460263506,1,-0.007919494062662125,1,2.18621826171875,1
1777498967972288512,0.0001565068669151515,1,-0.007913451641798019,1,2.186225652694702,1
1777498967982341120,0.0001752083480823785,1,-0.00792344007641077,1,2.18622875213623,1
1777498967992374272,0.0001746441557770595,1,-0.007921613752841949,1,2.186224937438965,1
1777498968002388480,0.0001798739976948127,1,-0.007914896123111248,1,2.186219453811646,1
1777498968012383232,0.0001901306095533073,1,-0.007918910123407841,1,2.186220645904541,1
1777498968022358784,0.0001919434434967116,1,-0.007911377586424351,1,2.186225175857544,1
1777498968032316672,0.0002128916676156223,1,-0.007910883985459805,1,2.186219453811646,1
1777498968042257152,0.0002017073420574889,1,-0.007899818010628223,1,2.186219692230225,1
1777498968052178176,0.0002146484039258212,1,-0.007906883023679256,1,2.186218023300171,1
1777498968062080000,0.00020434963516891,1,-0.007904309779405594,1,2.186219930648804,1
1777498968071963136,0.0002101735735777766,1,-0.007904914207756519,1,2.186222076416016,1
1777498968081826816,0.0002089895860990509,1,-0.007899279706180096,1,2.186226367950439,1
1777498968091671552,0.0002099122939398512,1,-0.007905604317784309,1,2.186227798461914,1
1777498968101496832,0.0002043075655819848,1,-0.007897407747805119,1,2.18622088432312,1
1777498968111303424,0.0002074690273730084,1,-0.007904441095888615,1,2.186217784881592,1
1777498968121091840,0.0001998031802941114,1,-0.0079089580103755,1,2.186217069625854,1
1777498968131091456,0.0002051582850981504,1,-0.007910469546914101,1,2.186218976974487,1
1777498968141302272,0.0001882333599496633,1,-0.007896417751908302,1,2.186234712600708,1
1777498968151493632,0.0001966683485079557,1,-0.007902871817350388,1,2.186237335205078,1
1777498968161666048,0.0001975408813450485,1,-0.007903892546892166,1,2.186237573623657,1
1777498968171818496,0.000199824629817158,1,-0.007898218929767609,1,2.186232566833496,1
1777498968181951232,0.0002075436059385538,1,-0.007901063188910484,1,2.186231136322021,1
1777498968192064512,0.0002076859527733177,1,-0.007899158634245396,1,2.186228275299072,1
1777498968202158080,0.000213886029087007,1,-0.007895958609879017,1,2.186232566833496,1
1777498968212232448,0.0002184807963203639,1,-0.007910921238362789,1,2.186232805252075,1
1777498968222287360,0.0002128134365193546,1,-0.007903226651251316,1,2.186235427856445,1
1777498968232322816,0.0002087360771838576,1,-0.007910022512078285,1,2.186234951019287,1
1777498968242342912,0.0002159953874070197,1,-0.007912897504866123,1,2.186233997344971,1
1777498968252343552,0.0002189624210586771,1,-0.007917081937193871,1,2.186236381530762,1
1777498968262324992,0.0002216256107203662,1,-0.007916794158518314,1,2.186235666275024,1
1777498968272287232,0.0002154734247596934,1,-0.007917681708931923,1,2.186240673065186,1
1777498968282230272,0.000212383340112865,1,-0.007921080105006695,1,2.186242580413818,1
1777498968292154112,0.0002110356144839898,1,-0.007916620932519436,1,2.186242818832397,1
1777498968302058752,0.0002091461501549929,1,-0.007920898497104645,1,2.186244010925293,1
1777498968311944192,0.0002183440956287086,1,-0.007920181378722191,1,2.186242580413818,1
1777498968321810944,0.0002255958679597825,1,-0.007929934188723564,1,2.186244249343872,1
1777498968331658496,0.0002233585983049124,1,-0.007933768443763256,1,2.186240911483765,1
1777498968341487104,0.0002156880218535662,1,-0.007931324653327465,1,2.186254262924194,1
1777498968351296512,0.0002134373207809404,1,-0.007930279709398746,1,2.186249494552612,1
1777498968361086464,0.0002200162271037698,1,-0.007931293919682503,1,2.1862473487854,1
1777498968371088384,0.000225011826842092,1,-0.007935377769172192,1,2.186241388320923,1
1777498968381301504,0.0002280683693243191,1,-0.007937017828226089,1,2.186242580413818,1
1777498968391494912,0.0002222309849457815,1,-0.007936970330774784,1,2.186238527297974,1
1777498968401668864,0.0002116032701451331,1,-0.007938342168927193,1,2.186237812042236,1
1777498968411823616,0.0002085745363729075,1,-0.007939150556921959,1,2.186238288879395,1
1777498968421958912,0.0002106258762069046,1,-0.007938465103507042,1,2.186239004135132,1
1777498968432074496,0.0002195915440097451,1,-0.007941002026200294,1,2.186239719390869,1
1777498968442170880,0.0002243266644654796,1,-0.007940051145851612,1,2.186243534088135,1
1777498968452247808,0.0002180875890189782,1,-0.007935609668493271,1,2.18624472618103,1
1777498968462305024,0.0002241078764200211,1,-0.007944800890982151,1,2.186250925064087,1
1777498968472342784,0.0002200581366196275,1,-0.007940607145428658,1,2.186251878738403,1
1777498968482364928,0.0002242480113636702,1,-0.007943853735923767,1,2.186248779296875,1
1777498968492367616,0.000221537979086861,1,-0.00794745609164238,1,2.18625283241272,1
1777498968502350848,0.0002214104606537148,1,-0.007949534803628922,1,2.186250448226929,1
1777498968512314624,0.0002289589756401256,1,-0.007951522246003151,1,2.186253547668457,1
1777498968522259200,0.0002332582807866856,1,-0.007940799929201603,1,2.186252593994141,1
1777498968532184576,0.0002351548901060596,1,-0.007943966425955296,1,2.186252355575562,1
1777498968542090752,0.0002250814432045445,1,-0.007936227135360241,1,2.186264514923096,1
1777498968551977728,0.0002257507585454732,1,-0.007936197333037853,1,2.186259269714355,1
1777498968561846016,0.0002269876858917996,1,-0.007934853434562683,1,2.186259031295776,1
1777498968571695360,0.000233630882576108,1,-0.007932675071060658,1,2.18625545501709,1
1777498968581525504,0.0002363647799938917,1,-0.007931048981845379,1,2.18626070022583,1
1777498968591336704,0.0002348293492104858,1,-0.007922681048512459,1,2.186268329620361,1
1777498968601128448,0.0002310463460162282,1,-0.007920398376882076,1,2.186269521713257,1
