Time,estLinearAccelZ,estAngularRateZ,flagStop
1777503236464035661, 0.040261,-0.004234,0
1777503236482657244, 0.038784,-0.003934,0
1777503236492814590, 0.038784,-0.003934,0
1777503236502925751, 0.038784,-0.003934,0
1777503236513041967, 0.038784,-0.003934,0
1777503236523156350, 0.038784,-0.003934,0
1777503236533652080, 0.041747,-0.003876,0
1777503236543765982, 0.041747,-0.003876,0
1777503236553877494, 0.041747,-0.003876,0
1777503236563987137, 0.041747,-0.003876,0
1777503236574097631, 0.041747,-0.003876,0
1777503236592722641, 0.042540,-0.003933,0
1777503236602837542, 0.042540,-0.003933,0
1777503236612953981, 0.042540,-0.003933,0
1777503236623068216, 0.042540,-0.003933,0
1777503236633182006, 0.042540,-0.003933,0
1777503236651757424, 0.046001,-0.004246,0
1777503236661873289, 0.046001,-0.004246,0
1777503236671987394, 0.046001,-0.004246,0
1777503236682100592, 0.046001,-0.004246,0
1777503236692213253, 0.046001,-0.004246,0
1777503236702743834, 0.044908,-0.003965,0
1777503236712861143, 0.044908,-0.003965,0
1777503236722974693, 0.044908,-0.003965,0
1777503236733087631, 0.044908,-0.003965,0
1777503236743200496, 0.044908,-0.003965,0
1777503236761794932, 0.038387,-0.004429,0
1777503236771914148, 0.038387,-0.004429,0
1777503236782036957, 0.038387,-0.004429,0
1777503236792154803, 0.038387,-0.004429,0
1777503236802269686, 0.038387,-0.004429,0
1777503236812804508, 0.041424,-0.004185,0
1777503236822919724, 0.041424,-0.004185,0
1777503236833032663, 0.041424,-0.004185,0
1777503236843144972, 0.041424,-0.004185,0
1777503236853257355, 0.041424,-0.004185,0
1777503236871857514, 0.042388,-0.004132,0
1777503236881972248, 0.042388,-0.004132,0
1777503236892084835, 0.042388,-0.004132,0
1777503236902198181, 0.042388,-0.004132,0
1777503236912319268, 0.042388,-0.004132,0
1777503236922904422, 0.043011,-0.004420,0
1777503236933093730, 0.043011,-0.004420,0
1777503236943209113, 0.043011,-0.004420,0
1777503236953325552, 0.043011,-0.004420,0
1777503236963438787, 0.043011,-0.004420,0
1777503236981890244, 0.043151,-0.004179,0
1777503236992005219, 0.043151,-0.004179,0
1777503237002119121, 0.043151,-0.004179,0
1777503237012232078, 0.043151,-0.004179,0
1777503237022344924, 0.043151,-0.004179,0
1777503237032873320, 0.045156,-0.004396,0
1777503237042989759, 0.045156,-0.004396,0
1777503237053103716, 0.045156,-0.004396,0
1777503237063216618, 0.045156,-0.004396,0
1777503237073357723, 0.045156,-0.004396,0
1777503237091937122, 0.040296,-0.004032,0
1777503237102054079, 0.040296,-0.004032,0
1777503237112246035, 0.040296,-0.004032,0
1777503237122362215, 0.040296,-0.004032,0
1777503237132414636, 0.045820,-0.004010,0
1777503237142557092, 0.045820,-0.004010,0
1777503237152670216, 0.045820,-0.004010,0
1777503237162782322, 0.045820,-0.004010,0
1777503237172894816, 0.045820,-0.004010,0
1777503237183007643, 0.045820,-0.004010,0
1777503237193477281, 0.043379,-0.004001,0
1777503237203592831, 0.043379,-0.004001,0
1777503237213704121, 0.043379,-0.004001,0
1777503237223818375, 0.043379,-0.004001,0
1777503237233930128, 0.043379,-0.004001,0
1777503237252614563, 0.043819,-0.004398,0
1777503237262739409, 0.043819,-0.004398,0
1777503237272850644, 0.043819,-0.004398,0
1777503237282963787, 0.043819,-0.004398,0
1777503237293076688, 0.043819,-0.004398,0
1777503237303527363, 0.041304,-0.003944,0
1777503237313641802, 0.041304,-0.003944,0
1777503237323750629, 0.041304,-0.003944,0
1777503237333855457, 0.041304,-0.003944,0
1777503237343959637, 0.041304,-0.003944,0
1777503237362593628, 0.045337,-0.004062,0
1777503237372699196, 0.045337,-0.004062,0
1777503237382803820, 0.045337,-0.004062,0
1777503237392995832, 0.045337,-0.004062,0
1777503237403099678, 0.045337,-0.004062,0
1777503237413552927, 0.043782,-0.004530,0
1777503237423662143, 0.043782,-0.004530,0
1777503237433767490, 0.043782,-0.004530,0
1777503237443872577, 0.043782,-0.004530,0
1777503237453975830, 0.043782,-0.004530,0
1777503237472603562, 0.036594,-0.003800,0
1777503237482706723, 0.036594,-0.003800,0
1777503237492810236, 0.036594,-0.003800,0
1777503237502911860, 0.036594,-0.003800,0
1777503237513018947, 0.036594,-0.003800,0
1777503237523622416, 0.045929,-0.004219,0
1777503237533735077, 0.045929,-0.004219,0
1777503237543849090, 0.045929,-0.004219,0
1777503237553959899, 0.045929,-0.004219,0
1777503237564071301, 0.045929,-0.004219,0
1777503237582662311, 0.043194,-0.004122,0
1777503237592774472, 0.043194,-0.004122,0
1777503237602885429, 0.043194,-0.004122,0
1777503237612996460, 0.043194,-0.004122,0
1777503237623105121, 0.043194,-0.004122,0
1777503237633653202, 0.044318,-0.004167,0
1777503237643770382, 0.044318,-0.004167,0
1777503237653939764, 0.044318,-0.004167,0
1777503237664055166, 0.044318,-0.004167,0
1777503237674163382, 0.044318,-0.004167,0
1777503237692725874, 0.037902,-0.004281,0
1777503237702837869, 0.037902,-0.004281,0
1777503237712947733, 0.037902,-0.004281,0
1777503237723057579, 0.037902,-0.004281,0
1777503237733165833, 0.037902,-0.004281,0
1777503237751756028, 0.045803,-0.004065,0
1777503237761871097, 0.045803,-0.004065,0
1777503237771984869, 0.045803,-0.004065,0
1777503237782097733, 0.045803,-0.004065,0
1777503237792209302, 0.045803,-0.004065,0
1777503237802763197, 0.042912,-0.004214,0
1777503237812925913, 0.042912,-0.004214,0
1777503237823038185, 0.042912,-0.004214,0
1777503237833149124, 0.042912,-0.004214,0
1777503237843261174, 0.042912,-0.004214,0
1777503237861799407, 0.037773,-0.004200,0
1777503237871913716, 0.037773,-0.004200,0
1777503237882026747, 0.037773,-0.004200,0
1777503237892139538, 0.037773,-0.004200,0
1777503237902250125, 0.037773,-0.004200,0
1777503237912807372, 0.036825,-0.004253,0
1777503237922927663, 0.036825,-0.004253,0
1777503237933041675, 0.036825,-0.004253,0
1777503237943154077, 0.036825,-0.004253,0
1777503237953265923, 0.036825,-0.004253,0
1777503237971908396, 0.048652,-0.005307,0
1777503237982022334, 0.048652,-0.005307,0
1777503237992134940, 0.048652,-0.005307,0
1777503238002247341, 0.048652,-0.005307,0
1777503238012359039, 0.048652,-0.005307,0
1777503238022840381, 0.040395,-0.004156,0
1777503238032954597, 0.040395,-0.004156,0
1777503238043068202, 0.040395,-0.004156,0
1777503238053181030, 0.040395,-0.004156,0
1777503238063292006, 0.040395,-0.004156,0
1777503238081895072, 0.039903,-0.004506,0
1777503238092010288, 0.039903,-0.004506,0
1777503238102122875, 0.039903,-0.004506,0
1777503238112235573, 0.039903,-0.004506,0
1777503238122346678, 0.039903,-0.004506,0
1777503238132875278, 0.041907,-0.006184,0
1777503238142989420, 0.041907,-0.006184,0
1777503238153103674, 0.041907,-0.006184,0
1777503238163215446, 0.041907,-0.006184,0
1777503238173356792, 0.033465,-0.434857,0
1777503238183472767, 0.033465,-0.434857,0
1777503238193584410, 0.033465,-0.434857,0
1777503238203698497, 0.033465,-0.434857,0
1777503238213818417, 0.033465,-0.434857,0
1777503238223932078, 0.033465,-0.434857,0
1777503238242499570, 0.029305,-0.454928,0
1777503238252669323, 0.029305,-0.454928,0
1777503238262787558, 0.029305,-0.454928,0
1777503238272898459, 0.029305,-0.454928,0
1777503238283006361, 0.029305,-0.454928,0
1777503238293488091, 0.045300,-0.366317,0
1777503238303604030, 0.045300,-0.366317,0
1777503238313714672, 0.045300,-0.366317,0
1777503238323814741, 0.045300,-0.366317,0
1777503238333919124, 0.045300,-0.366317,0
1777503238352516060, 0.044466,-0.308310,0
1777503238362621721, 0.044466,-0.308310,0
1777503238372757604, 0.044466,-0.308310,0
1777503238382954579, 0.044466,-0.308310,0
1777503238393059703, 0.044466,-0.308310,0
1777503238403500915, 0.038598,-0.045413,0
1777503238413608039, 0.038598,-0.045413,0
1777503238423715459, 0.038598,-0.045413,0
1777503238433821139, 0.038598,-0.045413,0
1777503238443926689, 0.038598,-0.045413,0
1777503238462561347, 0.044945,-0.005130,0
1777503238472669433, 0.044945,-0.005130,0
1777503238482774039, 0.044945,-0.005130,0
1777503238492877385, 0.044945,-0.005130,0
1777503238502981472, 0.044945,-0.005130,0
1777503238513556331, 0.039965,-0.008016,0
1777503238523673066, 0.039965,-0.008016,0
1777503238533783078, 0.039965,-0.008016,0
1777503238543894499, 0.039965,-0.008016,0
1777503238554007011, 0.039965,-0.008016,0
1777503238572622836, 0.087671,-0.675815,0
1777503238582735775, 0.087671,-0.675815,0
1777503238592848640, 0.087671,-0.675815,0
1777503238602957338, 0.087671,-0.675815,0
1777503238613069462, 0.087671,-0.675815,0
1777503238623608432,-0.079402,-1.318254,0
1777503238633726204,-0.079402,-1.318254,0
1777503238643840772,-0.079402,-1.318254,0
1777503238653952285,-0.079402,-1.318254,0
1777503238664067094,-0.079402,-1.318254,0
1777503238682663660, 0.044249,-0.764537,0
1777503238692779598, 0.044249,-0.764537,0
1777503238702890722, 0.044249,-0.764537,0
1777503238713002568, 0.044249,-0.764537,0
1777503238723112433, 0.044249,-0.764537,0
1777503238733659422, 0.071475,-0.693768,0
1777503238743775379, 0.071475,-0.693768,0
1777503238753887762, 0.071475,-0.693768,0
1777503238763999256, 0.071475,-0.693768,0
1777503238774110362, 0.071475,-0.693768,0
1777503238792707779, 0.023000,-1.000539,0
1777503238802820848, 0.023000,-1.000539,0
1777503238812931009, 0.023000,-1.000539,0
1777503238823039595, 0.023000,-1.000539,0
1777503238833150219, 0.023000,-1.000539,0
1777503238851755267, 0.096813,-1.721240,0
1777503238861871816, 0.096813,-1.721240,0
1777503238871982403, 0.096813,-1.721240,0
