time,"Altitude (GPS) (m)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Instant engine power (based on fuel consumption) (hp)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 1 Wide Range Voltage (V)","Power from MAF (hp)","Speed (GPS) (km/h)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
12:16:54.185,,,,,,,10.184459550696818,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:16:54.314,,12.666010822662566,14.131758823574797,14.131758823574797,14.131758823574797,12.665001904492893,,,,0.0790076191884969,,,,,,,,,0.8334489099844332,1.1173220000000001,1.1173220000000001,1.1173220000000001,0.8417833990842776,1.12849522,1.12849522,1.12849522,0.3090934420305053,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:16:54.450,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:16:54.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3678241,3.176026,,,,,,-12.100001786748267,-77.02429915834304,
12:16:55.287,,,,,,,10.179636903514679,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:16:55.435,,12.666384259777985,14.132075020669804,14.132075020669804,14.132075020669804,12.665161733456713,,,,0.07894351764387664,,,,,,,,,0.833473482895443,1.117347,1.117347,1.117347,0.8418082177243974,1.12852047,1.12852047,1.12852047,0.30884266410212763,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:16:55.682,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:16:55.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40234705,3.190666,,,,,,-12.100001786748267,-77.02429915834304,
12:16:56.540,,,,,,,10.174157419725942,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:16:56.688,,12.666800737744122,14.13241651353241,14.13241651353241,14.13241651353241,12.665282629825358,,,,0.07875428715922145,,,,,,,,,0.8335008879807353,1.1173739999999999,1.1173739999999999,1.1173739999999999,0.8418358968605426,1.1285477400000001,1.1285477400000001,1.1285477400000001,0.3081023569970669,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:16:56.838,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:16:57.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.413107449999998,3.1955459999999998,,,,,,-12.100001786748267,-77.02429915834304,
12:16:57.689,,,,,,,10.169134952941624,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:16:57.892,,12.667200749973038,14.132745358511222,14.132745358511222,14.132745358511222,12.665678688887823,,,,0.0786954915362451,,,,,,,,,0.8335272095875014,1.1174,1.1174,1.1174,0.8418624816833764,1.128574,1.128574,1.128574,0.3078723368842126,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:16:58.430,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:16:58.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45256225,3.2101859999999998,,,,,,-12.100001786748267,-77.02429915834304,
12:16:59.188,,,,,,,10.162601901627447,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:16:59.433,,12.667711394109393,14.133175386560435,14.133175386560435,14.133175386560435,12.666079865158773,,,,0.07848065662837507,,,,,,,,,0.8335608109956161,1.117434,1.117434,1.117434,0.8418964191055722,1.12860834,1.12860834,1.12860834,0.3070318602083691,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:16:59.583,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:16:59.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.460184199999999,3.2150659999999998,,,,,,-12.100001786748267,-77.02429915834304,
12:17:00.185,,,,,,,10.158257415140731,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:17:00.333,,12.668009351843343,14.13342834423644,14.13342834423644,14.13342834423644,12.6664623340484,,,,0.07843928954532031,,,,,,,,,0.833580417211974,1.117454,1.117454,1.117454,0.8419162213840937,1.1286285399999998,1.1286285399999998,1.1286285399999998,0.30687002399283086,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:17:00.511,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:17:00.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.465116049999999,3.2150659999999998,,,,,,-12.100001786748267,-77.02429915834304,
12:17:01.073,,,,,,,10.154386856144088,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:17:01.270,,12.668319576820677,14.13368130191245,14.13368130191245,14.13368130191245,12.666835511839341,,,,0.07841254583937236,,,,,,,,,0.833600830637545,1.117474,1.117474,1.117474,0.8419368389439205,1.12864874,1.12864874,1.12864874,0.3067653973225298,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:17:01.478,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:17:01.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.479014899999997,3.2199459999999998,,,,,,-12.100001786748267,-77.02429915834304,
12:17:02.252,,,,,,,10.149257489716549,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:17:02.401,,12.668693534275684,14.133997499007457,14.133997499007457,14.133997499007457,12.66721002264136,,,,0.07833727523427482,,,,,,,,,0.8336254377879431,1.117499,1.117499,1.117499,0.8419616921658225,1.12867399,1.12867399,1.12867399,0.3064709238191857,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:17:02.552,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:17:02.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49201705,3.2248259999999997,,,,,,-12.100001786748267,-77.02429915834304,
12:17:03.002,,,,,,,10.146000319431737,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:17:03.152,,12.668941511590928,14.134199865148263,14.134199865148263,14.134199865148263,12.667383171536317,,,,0.07826699150498626,,,,,,,,,0.8336417551925296,1.117515,1.117515,1.117515,0.8419781727444549,1.1286901500000002,1.1286901500000002,1.1286901500000002,0.3061959599609189,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:17:03.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49201705,3.2248259999999997,,,,,,-12.100001786748267,-77.02429915834304,
12:17:03.748,,,,,,,10.142757623469475,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:17:03.896,,12.669187583139216,14.13440223128907,14.13440223128907,14.13440223128907,12.667725952193695,,,,0.07826699150498626,,,,,,,,,0.8336579471938289,1.117531,1.117531,1.117531,0.8419945266657672,1.12870631,1.12870631,1.12870631,0.3061959599609189,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:17:04.031,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:17:04.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.505467549999999,3.2297059999999997,,,,,,-12.100001786748267,-77.02429915834304,
12:17:04.888,,,,,,,10.13780982267734,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:17:05.036,,12.669563805721443,14.134718428384078,14.134718428384078,14.134718428384078,12.668081250499583,,,,0.07819441679027203,,,,,,,,,0.83368270339414,1.117556,1.117556,1.117556,0.8420195304280814,1.1287315599999999,1.1287315599999999,1.1287315599999999,0.30591203331427635,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
