time,Vehicle speed (km/h)
11:57:27.360,15.0
11:57:28.152,18.0
11:57:29.268,22.0
11:57:30.803,24.0
11:57:31.500,24.0
11:57:32.656,22.0
11:57:33.804,22.0
11:57:34.571,22.0
11:57:35.749,24.0
11:57:36.535,23.0
11:57:37.367,15.0
11:57:38.568,22.0
11:57:39.705,22.0
11:57:40.463,22.0
11:57:41.452,22.0
11:57:43.407,1.0
11:57:44.108,22.0
11:57:45.340,22.0
11:57:46.491,22.0
11:57:47.235,22.0
11:57:48.139,22.0
11:57:49.004,22.0
11:57:49.824,22.0
11:57:50.663,23.0
11:57:51.934,22.0
11:57:52.885,23.0
11:57:53.702,21.0
11:57:54.914,22.0
11:57:56.082,22.0
11:57:56.908,21.0
11:57:58.060,23.0
11:57:59.275,21.0
11:58:00.161,21.0
11:58:00.992,22.0
11:58:01.874,20.0
11:58:02.682,18.0
11:58:03.784,16.0
11:58:04.574,15.0
11:58:05.328,15.0
11:58:06.523,17.0
11:58:07.263,17.0
11:58:08.043,19.0
11:58:08.821,19.0
11:58:09.560,21.0
11:58:10.278,21.0
11:58:11.519,21.0
11:58:12.570,23.0
11:58:13.848,21.0
11:58:14.560,21.0
11:58:15.698,20.0
11:58:16.657,19.0
11:58:17.351,16.0
11:58:18.546,15.0
11:58:19.690,15.0
11:58:20.436,17.0
11:58:21.299,17.0
11:58:22.544,21.0
11:58:24.015,20.0
11:58:24.731,20.0
11:58:25.882,20.0
11:58:26.666,19.0
11:58:28.211,18.0
11:58:29.462,18.0
11:58:31.171,17.0
11:58:33.134,1.0
11:58:33.849,19.0
11:58:34.604,19.0
11:58:35.381,20.0
11:58:36.211,20.0
11:58:37.052,20.0
11:58:37.876,20.0
11:58:38.634,22.0
11:58:39.428,22.0
11:58:40.653,22.0
11:58:41.577,22.0
11:58:42.417,21.0
11:58:43.252,22.0
11:58:44.078,21.0
11:58:45.220,21.0
11:58:46.386,21.0
11:58:47.232,22.0
11:58:48.429,23.0
11:58:49.277,22.0
11:58:50.035,22.0
11:58:50.810,23.0
11:58:52.321,19.0
11:58:53.440,15.0
11:58:54.182,10.0
11:58:55.349,7.0
11:58:56.259,7.0
11:58:57.148,9.0
11:58:57.997,11.0
11:58:58.870,10.0
11:58:59.632,12.0
11:59:00.869,11.0
11:59:01.720,11.0
11:59:02.475,11.0
11:59:03.353,11.0
11:59:04.428,13.0
11:59:05.561,17.0
11:59:06.334,16.0
11:59:07.061,1.0
11:59:07.939,19.0
11:59:08.777,21.0
11:59:09.468,23.0
11:59:10.337,21.0
11:59:11.380,22.0
11:59:12.188,23.0
11:59:13.034,21.0
11:59:13.761,21.0
11:59:14.685,20.0
11:59:15.438,19.0
11:59:16.204,18.0
11:59:17.705,17.0
11:59:18.819,16.0
11:59:19.689,18.0
11:59:21.271,17.0
11:59:22.368,14.0
11:59:23.132,13.0
11:59:23.835,11.0
11:59:24.732,6.0
11:59:25.457,4.0
11:59:26.267,15.0
11:59:27.847,3.0
11:59:28.563,0.0
11:59:29.459,0.0
11:59:30.293,0.0
11:59:31.036,0.0
11:59:31.780,0.0
11:59:32.585,0.0
11:59:34.602,10.0
11:59:36.177,17.0
11:59:37.705,18.0
11:59:39.701,22.0
11:59:40.895,20.0
11:59:41.737,19.0
11:59:42.481,19.0
11:59:43.163,21.0
11:59:43.980,21.0
11:59:44.856,23.0
11:59:45.648,22.0
11:59:46.475,22.0
11:59:47.190,22.0
11:59:48.071,21.0
11:59:49.280,17.0
11:59:50.298,14.0
11:59:51.482,14.0
11:59:52.250,13.0
11:59:53.485,15.0
11:59:54.643,15.0
11:59:55.496,15.0
11:59:56.404,17.0
11:59:57.606,18.0
11:59:59.976,16.0
12:00:01.065,16.0
12:00:01.999,17.0
12:00:02.706,17.0
12:00:04.278,16.0
12:00:05.401,1.0
12:00:06.389,17.0
12:00:07.117,16.0
12:00:10.271,14.0
12:00:10.996,12.0
12:00:13.365,9.0
12:00:14.933,9.0
12:00:16.102,3.0
12:00:16.832,3.0
12:00:18.088,5.0
12:00:18.945,0.0
12:00:20.161,0.0
12:00:21.230,0.0
12:00:22.034,0.0
12:00:23.966,0.0
12:00:25.189,0.0
12:00:25.918,0.0
12:00:26.634,0.0
12:00:27.463,0.0
12:00:28.221,0.0
12:00:29.402,0.0
12:00:30.171,0.0
12:00:31.236,0.0
12:00:31.946,0.0
12:00:32.705,0.0
12:00:33.465,0.0
12:00:34.960,0.0
12:00:35.735,0.0
12:00:36.519,0.0
12:00:37.636,0.0
12:00:38.480,0.0
12:00:39.721,0.0
12:00:41.276,0.0
12:00:42.296,0.0
12:00:43.035,0.0
12:00:43.839,0.0
12:00:44.711,0.0
12:00:45.914,0.0
12:00:47.199,0.0
12:00:47.864,0.0
12:00:49.135,0.0
12:00:49.901,0.0
12:00:50.645,0.0
12:00:51.817,0.0
12:00:52.583,0.0
12:00:53.336,0.0
12:00:54.105,0.0
12:00:54.877,0.0
12:00:55.571,0.0
12:00:57.067,0.0
12:00:59.119,0.0
12:01:00.213,0.0
12:01:00.926,0.0
12:01:01.670,0.0
12:01:02.776,0.0
12:01:03.551,0.0
12:01:04.358,0.0
12:01:05.899,0.0
12:01:06.734,0.0
12:01:07.440,0.0
12:01:08.195,0.0
