time_unix_ms,timestamp,Vehicle speed (km/h)
1778759546770,2026-05-14 11:52:26.770,0.0
1778759547497,2026-05-14 11:52:27.497,0.0
1778759548686,2026-05-14 11:52:28.686,1.0
1778759550242,2026-05-14 11:52:30.242,0.0
1778759551077,2026-05-14 11:52:31.077,0.0
1778759551991,2026-05-14 11:52:31.991,0.0
1778759552751,2026-05-14 11:52:32.751,0.0
1778759553541,2026-05-14 11:52:33.541,0.0
1778759554431,2026-05-14 11:52:34.431,0.0
1778759555192,2026-05-14 11:52:35.192,0.0
1778759555972,2026-05-14 11:52:35.972,0.0
1778759556761,2026-05-14 11:52:36.761,0.0
1778759557442,2026-05-14 11:52:37.442,0.0
1778759560041,2026-05-14 11:52:40.041,0.0
1778759560747,2026-05-14 11:52:40.747,0.0
1778759561506,2026-05-14 11:52:41.506,0.0
1778759562319,2026-05-14 11:52:42.319,0.0
1778759563444,2026-05-14 11:52:43.444,0.0
1778759564257,2026-05-14 11:52:44.257,0.0
1778759565378,2026-05-14 11:52:45.378,0.0
1778759566982,2026-05-14 11:52:46.982,0.0
1778759567724,2026-05-14 11:52:47.724,0.0
