unix_time_ms,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag
1779391856680,415874.680000000,3,0.999853432,-0.008747611,0.014715422,-0.000108506,1,0
1779391856700,415874.700000000,3,0.999852419,-0.008748685,0.014785853,-0.000096730,1,0
1779391856710,415874.710000000,3,0.999852538,-0.008737433,0.014784698,-0.000094001,1,0
1779391856730,415874.730000000,3,0.999854147,-0.008717529,0.014687227,-0.000099348,1,0
1779391856740,415874.740000000,3,0.999854088,-0.008706206,0.014697058,-0.000094129,1,0
1779391856760,415874.760000000,3,0.999853313,-0.008694989,0.014756459,-0.000084392,1,0
1779391856770,415874.770000000,3,0.999853790,-0.008691674,0.014725888,-0.000093677,1,0
1779391856790,415874.790000000,3,0.999853730,-0.008686439,0.014732516,-0.000093480,1,0
1779391856800,415874.800000000,3,0.999852836,-0.008694477,0.014786748,-0.000087649,1,0
1779391856810,415874.810000000,3,0.999852657,-0.008701829,0.014798346,-0.000084217,1,0
1779391856830,415874.830000000,3,0.999853551,-0.008702748,0.014733341,-0.000098167,1,0
1779391856840,415874.840000000,3,0.999853671,-0.008684329,0.014737641,-0.000095980,1,0
1779391856860,415874.860000000,3,0.999853373,-0.008668849,0.014765427,-0.000084305,1,0
1779391856870,415874.870000000,3,0.999853909,-0.008676349,0.014727710,-0.000089725,1,0
1779391856890,415874.890000000,3,0.999854088,-0.008687709,0.014706740,-0.000089899,1,0
1779391856900,415874.900000000,3,0.999853611,-0.008689296,0.014738525,-0.000078860,1,0
1779391856920,415874.920000000,3,0.999853849,-0.008704513,0.014712837,-0.000075565,1,0
1779391856930,415874.930000000,3,0.999854207,-0.008712408,0.014684625,-0.000078399,1,0
1779391856950,415874.950000000,3,0.999853492,-0.008724786,0.014727126,-0.000072282,1,0
1779391856960,415874.960000000,3,0.999853253,-0.008743132,0.014731040,-0.000071140,1,0
1779391856970,415874.970000000,3,0.999853730,-0.008753847,0.014691230,-0.000080384,1,0
1779391856990,415874.990000000,3,0.999853790,-0.008768616,0.014679461,-0.000081276,1,0
1779391857000,415875.000000000,3,0.999853134,-0.008774305,0.014721083,-0.000071473,1,0
1779391857020,415875.020000000,3,0.999853432,-0.008787317,0.014691656,-0.000077866,1,0
1779391857030,415875.030000000,3,0.999853671,-0.008802209,0.014667738,-0.000084616,1,0
1779391857050,415875.050000000,3,0.999852777,-0.008803272,0.014728396,-0.000071911,1,0
1779391857060,415875.060000000,3,0.999852598,-0.008802516,0.014739435,-0.000071141,1,0
1779391857080,415875.080000000,3,0.999853492,-0.008791222,0.014684975,-0.000084711,1,0
1779391857090,415875.090000000,3,0.999853373,-0.008774647,0.014703754,-0.000084888,1,0
1779391857100,415875.100000000,3,0.999852836,-0.008771725,0.014744620,-0.000082427,1,0
1779391857120,415875.120000000,3,0.999853492,-0.008761421,0.014704254,-0.000093754,1,0
1779391857130,415875.130000000,3,0.999854028,-0.008753353,0.014672860,-0.000098951,1,0
1779391857150,415875.150000000,3,0.999853671,-0.008728079,0.014710980,-0.000092310,1,0
1779391857160,415875.160000000,3,0.999853790,-0.008727075,0.014703011,-0.000090103,1,0
1779391857180,415875.180000000,3,0.999854922,-0.008724960,0.014630360,-0.000098908,1,0
1779391857190,415875.190000000,3,0.999854565,-0.008719803,0.014657879,-0.000088895,1,0
1779391857210,415875.210000000,3,0.999854088,-0.008709298,0.014695261,-0.000077059,1,0
1779391857220,415875.220000000,3,0.999854684,-0.008707733,0.014657166,-0.000086359,1,0
1779391857240,415875.240000000,3,0.999855161,-0.008692777,0.014630591,-0.000092996,1,0
1779391857250,415875.250000000,3,0.999854147,-0.008723286,0.014684259,-0.000086786,1,0
1779391857260,415875.260000000,3,0.999854028,-0.008744198,0.014677005,-0.000087320,1,0
1779391857280,415875.280000000,3,0.999854982,-0.008765499,0.014599578,-0.000105778,1,0
1779391857290,415875.290000000,3,0.999854386,-0.008790101,0.014625880,-0.000103035,1,0
1779391857310,415875.310000000,3,0.999853611,-0.008827666,0.014654992,-0.000097489,1,0
1779391857320,415875.320000000,3,0.999854505,-0.008824801,0.014597637,-0.000107480,1,0
1779391857340,415875.340000000,3,0.999854326,-0.008813522,0.014617876,-0.000109676,1,0
1779391857350,415875.350000000,3,0.999853671,-0.008799812,0.014669280,-0.000104406,1,0
1779391857380,415875.380000000,3,0.999855161,-0.008714048,0.014618035,-0.000127961,1,0
1779391857390,415875.390000000,3,0.999854922,-0.008682722,0.014651940,-0.000122664,1,0
1779391857410,415875.410000000,3,0.999854267,-0.008695417,0.014689948,-0.000118380,1,0
1779391857420,415875.420000000,3,0.999855280,-0.008699125,0.014619677,-0.000121680,1,0
1779391857440,415875.440000000,3,0.999854982,-0.008737525,0.014617397,-0.000113276,1,0
1779391857450,415875.450000000,3,0.999853790,-0.008777621,0.014676006,-0.000098839,1,0
1779391857470,415875.470000000,3,0.999853969,-0.008818768,0.014638300,-0.000100661,1,0
1779391857480,415875.480000000,3,0.999853909,-0.008832551,0.014633187,-0.000108178,1,0
1779391857500,415875.500000000,3,0.999852836,-0.008802475,0.014725578,-0.000101017,1,0
1779391857510,415875.510000000,3,0.999853432,-0.008770046,0.014701770,-0.000107879,1,0
1779391857530,415875.530000000,3,0.999855638,-0.008681569,0.014604431,-0.000132176,1,0
1779391857540,415875.540000000,3,0.999855280,-0.008664834,0.014641624,-0.000125337,1,0
1779391857550,415875.550000000,3,0.999854684,-0.008670009,0.014678677,-0.000123387,1,0
1779391857570,415875.570000000,3,0.999854922,-0.008703237,0.014642199,-0.000132510,1,0
1779391857580,415875.580000000,3,0.999854624,-0.008718338,0.014652041,-0.000130512,1,0
1779391857600,415875.600000000,3,0.999853492,-0.008744889,0.014713443,-0.000116075,1,0
1779391857610,415875.610000000,3,0.999853909,-0.008752123,0.014681215,-0.000115502,1,0
1779391857630,415875.630000000,3,0.999854863,-0.008754118,0.014616332,-0.000119642,1,0
1779391857640,415875.640000000,3,0.999854505,-0.008744520,0.014643683,-0.000111644,1,0
1779391857660,415875.660000000,3,0.999854565,-0.008725854,0.014651700,-0.000109708,1,0
1779391857670,415875.670000000,3,0.999855101,-0.008715684,0.014621631,-0.000115261,1,0
1779391857680,415875.680000000,3,0.999855161,-0.008702109,0.014625750,-0.000120166,1,0
1779391857700,415875.700000000,3,0.999854386,-0.008691523,0.014685268,-0.000111038,1,0
1779391857710,415875.710000000,3,0.999854743,-0.008696411,0.014658059,-0.000114979,1,0
1779391857730,415875.730000000,3,0.999854743,-0.008747302,0.014625831,-0.000119465,1,0
1779391857740,415875.740000000,3,0.999853909,-0.008780153,0.014665344,-0.000110687,1,0
1779391857760,415875.760000000,3,0.999853730,-0.008825560,0.014651095,-0.000105785,1,0
1779391857770,415875.770000000,3,0.999854326,-0.008829169,0.014608826,-0.000109033,1,0
1779391857790,415875.790000000,3,0.999853253,-0.008825737,0.014682033,-0.000101089,1,0
1779391857800,415875.800000000,3,0.999852538,-0.008832272,0.014725097,-0.000101347,1,0
1779391857820,415875.820000000,3,0.999853790,-0.008782363,0.014671934,-0.000122049,1,0
1779391857830,415875.830000000,3,0.999853790,-0.008765281,0.014680133,-0.000128722,1,0
1779391857840,415875.840000000,3,0.999853551,-0.008753202,0.014705308,-0.000124383,1,0
1779391857860,415875.860000000,3,0.999854207,-0.008762704,0.014656398,-0.000134584,1,0
1779391857870,415875.870000000,3,0.999854863,-0.008781369,0.014599245,-0.000139748,1,0
1779391857890,415875.890000000,3,0.999853730,-0.008843380,0.014639894,-0.000131082,1,0
1779391857900,415875.900000000,3,0.999853015,-0.008880301,0.014665418,-0.000121639,1,0
1779391857920,415875.920000000,3,0.999853373,-0.008904836,0.014624665,-0.000122242,1,0
1779391857930,415875.930000000,3,0.999853015,-0.008908566,0.014647958,-0.000119132,1,0
1779391857950,415875.950000000,3,0.999851048,-0.008959827,0.014752577,-0.000108938,1,0
1779391857960,415875.960000000,3,0.999852002,-0.008936170,0.014698714,-0.000113868,1,0
1779391857970,415875.970000000,3,0.999852538,-0.008928484,0.014667666,-0.000121958,1,0
1779391857990,415875.990000000,3,0.999850631,-0.008956891,0.014781481,-0.000108583,1,0
1779391858000,415876.000000000,3,0.999850154,-0.008964041,0.014808401,-0.000105914,1,0
1779391858020,415876.020000000,3,0.999851644,-0.008952302,0.014713110,-0.000122681,1,0
1779391858030,415876.030000000,3,0.999851584,-0.008950272,0.014721514,-0.000118463,1,0
1779391858050,415876.050000000,3,0.999850452,-0.008978660,0.014778917,-0.000100952,1,0
1779391858060,415876.060000000,3,0.999850810,-0.008997058,0.014743936,-0.000103250,1,0
1779391858080,415876.080000000,3,0.999850273,-0.009032151,0.014759480,-0.000099585,1,0
1779391858090,415876.090000000,3,0.999849379,-0.009045093,0.014810640,-0.000088940,1,0
1779391858110,415876.110000000,3,0.999849856,-0.009049167,0.014777156,-0.000088506,1,0
1779391858120,415876.120000000,3,0.999850690,-0.009031518,0.014731439,-0.000092612,1,0
1779391858130,415876.130000000,3,0.999850810,-0.009015614,0.014732446,-0.000092811,1,0
1779391858150,415876.150000000,3,0.999849856,-0.009030942,0.014789028,-0.000090138,1,0
1779391858160,415876.160000000,3,0.999851286,-0.008996343,0.014711499,-0.000099699,1,0
1779391858180,415876.180000000,3,0.999851704,-0.008990228,0.014689441,-0.000115437,1,0
1779391858190,415876.190000000,3,0.999850690,-0.009012694,0.014744336,-0.000109067,1,0
1779391858210,415876.210000000,3,0.999851525,-0.009006119,0.014688843,-0.000114869,1,0
1779391858220,415876.220000000,3,0.999852180,-0.009000711,0.014647921,-0.000124035,1,0
1779391858240,415876.240000000,3,0.999849856,-0.009049223,0.014776889,-0.000112406,1,0
1779391858250,415876.250000000,3,0.999849617,-0.009064489,0.014784722,-0.000109538,1,0
1779391858260,415876.260000000,3,0.999850810,-0.009049071,0.014713168,-0.000114217,1,0
1779391858280,415876.280000000,3,0.999850631,-0.009065504,0.014713364,-0.000117747,1,0
1779391858290,415876.290000000,3,0.999849260,-0.009105491,0.014784403,-0.000104066,1,0
1779391858310,415876.310000000,3,0.999850154,-0.009102834,0.014722110,-0.000106863,1,0
1779391858320,415876.320000000,3,0.999850452,-0.009116557,0.014695355,-0.000112460,1,0
1779391858340,415876.340000000,3,0.999849260,-0.009141427,0.014760478,-0.000100560,1,0
1779391858350,415876.350000000,3,0.999849319,-0.009160529,0.014745951,-0.000099774,1,0
1779391858370,415876.370000000,3,0.999849856,-0.009217419,0.014674474,-0.000098167,1,0
1779391858380,415876.380000000,3,0.999848783,-0.009250968,0.014724258,-0.000082236,1,0
1779391858400,415876.400000000,3,0.999846697,-0.009340161,0.014810084,-0.000065687,1,0
1779391858410,415876.410000000,3,0.999846756,-0.009366410,0.014790288,-0.000068673,1,0
1779391858420,415876.420000000,3,0.999846399,-0.009383867,0.014802369,-0.000071830,1,0
1779391858440,415876.440000000,3,0.999843240,-0.009498513,0.014941351,-0.000061354,1,0
1779391858450,415876.450000000,3,0.999843657,-0.009490266,0.014919030,-0.000059802,1,0
1779391858470,415876.470000000,3,0.999844849,-0.009477409,0.014846101,-0.000071848,1,0
1779391858480,415876.480000000,3,0.999844611,-0.009479147,0.014861152,-0.000075317,1,0
1779391858500,415876.500000000,3,0.999846458,-0.009413015,0.014779824,-0.000079584,1,0
1779391858510,415876.510000000,3,0.999847710,-0.009386676,0.014712671,-0.000089171,1,0
1779391858530,415876.530000000,3,0.999846399,-0.009423899,0.014777212,-0.000092526,1,0
1779391858540,415876.540000000,3,0.999846101,-0.009435213,0.014788907,-0.000088702,1,0
