unix_time_ms,GPS_ts_week,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag_sensor,flag_filter
1779140922404.000000000,2419,164940.404000000,3,0.995540380,0.016664689,-0.029865587,0.087918967,2,2
1779140922424.000000000,2419,164940.424000000,3,0.995641530,0.016541041,-0.029970573,0.086753100,2,2
1779140922434.000000000,2419,164940.434000000,3,0.995535135,0.016635053,-0.030186227,0.087874494,2,2
1779140922454.000000000,2419,164940.454000000,3,0.995629370,0.017211709,-0.030587180,0.086547248,2,2
1779140922464.000000000,2419,164940.464000000,3,0.995819926,0.017460469,-0.030969629,0.084135547,2,2
1779140922474.000000000,2419,164940.474000000,3,0.995568931,0.017920345,-0.031329874,0.086832702,2,2
1779140922494.000000000,2419,164940.494000000,3,0.995376885,0.018203335,-0.031733572,0.088806197,2,2
1779140922504.000000000,2419,164940.504000000,3,0.995390177,0.018113891,-0.031988364,0.088583447,2,2
1779140922524.000000000,2419,164940.524000000,3,0.995208681,0.018336395,-0.032473419,0.090382591,2,2
1779140922534.000000000,2419,164940.534000000,3,0.995475233,0.018257530,-0.032413825,0.087436661,2,2
1779140922554.000000000,2419,164940.554000000,3,0.995163381,0.018409213,-0.032653071,0.090801425,2,2
1779140922564.000000000,2419,164940.564000000,3,0.995497882,0.018263713,-0.032497983,0.087145455,2,2
1779140922584.000000000,2419,164940.584000000,3,0.995252132,0.018164264,-0.032040820,0.090092793,2,2
1779140922594.000000000,2419,164940.594000000,3,0.995226800,0.018092528,-0.031771697,0.090481363,2,2
1779140922604.000000000,2419,164940.604000000,3,0.995108962,0.018033966,-0.031542879,0.091858797,2,2
1779140922624.000000000,2419,164940.624000000,3,0.994926810,0.017838137,-0.030354198,0.094239764,2,2
1779140922634.000000000,2419,164940.634000000,3,0.995159507,0.017618340,-0.029824048,0.091965936,2,2
1779140922654.000000000,2419,164940.654000000,3,0.994970322,0.017352961,-0.028405765,0.094478346,2,2
1779140922664.000000000,2419,164940.664000000,3,0.994862378,0.017338481,-0.027721139,0.095810913,2,2
1779140922684.000000000,2419,164940.684000000,3,0.994634748,0.017592577,-0.026354585,0.098476939,2,2
1779140922694.000000000,2419,164940.694000000,3,0.994620979,0.017833240,-0.025356879,0.098834082,2,2
1779140922714.000000000,2419,164940.714000000,3,0.994416595,0.018331187,-0.023783231,0.101163067,2,2
1779140922724.000000000,2419,164940.724000000,3,0.993920207,0.018546863,-0.022812858,0.106105268,2,2
1779140922744.000000000,2419,164940.744000000,3,0.993860304,0.018129956,-0.020875815,0.107132293,2,2
1779140922754.000000000,2419,164940.754000000,3,0.993987083,0.018015342,-0.020589018,0.106024399,2,2
1779140922764.000000000,2419,164940.764000000,3,0.993638515,0.018141584,-0.019772273,0.109373607,2,2
1779140922784.000000000,2419,164940.784000000,3,0.993972361,0.018666392,-0.018457331,0.106441922,2,2
1779140922794.000000000,2419,164940.794000000,3,0.993507743,0.019171303,-0.017625891,0.110743746,2,2
1779140922814.000000000,2419,164940.814000000,3,0.993169844,0.019759579,-0.016804539,0.113757834,2,2
1779140922824.000000000,2419,164940.824000000,3,0.993294835,0.019649213,-0.016513068,0.112723567,2,2
1779140922844.000000000,2419,164940.844000000,3,0.992972553,0.019036390,-0.016077828,0.115691908,2,2
1779140922854.000000000,2419,164940.854000000,3,0.993440151,0.018585350,-0.016264960,0.111654758,2,2
1779140922874.000000000,2419,164940.874000000,3,0.992814422,0.018539971,-0.016510017,0.117061444,2,2
