unix_time_ms,fGPS_ts_week,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag_sensor,flag_filter
1779140551730.000000000,2419,164569.730000000,3,0.999418437,0.014434293,0.001956019,-0.030832553,1,1,1
1779140551750.000000000,2419,164569.750000000,3,0.999422491,0.013798660,0.001931633,-0.030992882,1,1,1
1779140551760.000000000,2419,164569.760000000,3,0.999426425,0.013584509,0.001917659,-0.030961107,1,1,1
1779140551780.000000000,2419,164569.780000000,3,0.999431729,0.013714680,0.002075315,-0.030721691,1,1,1
1779140551790.000000000,2419,164569.790000000,3,0.999437153,0.013706588,0.001742918,-0.030570004,1,1,1
1779140551810.000000000,2419,164569.810000000,3,0.999446094,0.014045699,0.001846530,-0.030112496,1,1,1
1779140551820.000000000,2419,164569.820000000,3,0.999446630,0.014490898,0.001993845,-0.029874964,1,1,1
1779140551830.000000000,2419,164569.830000000,3,0.999460816,0.014142873,0.001752967,-0.029579554,1,1,1
1779140551850.000000000,2419,164569.850000000,3,0.999484539,0.013957523,0.001666928,-0.028863348,1,1,1
1779140551860.000000000,2419,164569.860000000,3,0.999491930,0.014299943,0.001778112,-0.028428419,1,1,1
1779140551880.000000000,2419,164569.880000000,3,0.999516904,0.014468677,0.001766988,-0.027449017,1,1,1
1779140551890.000000000,2419,164569.890000000,3,0.999540985,0.013987356,0.001221393,-0.026846105,1,1,1
1779140551910.000000000,2419,164569.910000000,3,0.999564826,0.014543889,0.000680925,-0.025655713,1,1,1
1779140551920.000000000,2419,164569.920000000,3,0.999579370,0.014541362,0.001600863,-0.025040502,1,1,1
1779140551940.000000000,2419,164569.940000000,3,0.999610960,0.014685975,0.001050099,-0.023687396,1,1,1
1779140551950.000000000,2419,164569.950000000,3,0.999622047,0.014937702,0.001846779,-0.023005912,1,1,1
1779140551960.000000000,2419,164569.960000000,3,0.999637663,0.014935995,0.001520079,-0.022340804,1,1,1
1779140551980.000000000,2419,164569.980000000,3,0.999672174,0.014693881,0.002430966,-0.020827269,1,1,1
1779140551990.000000000,2419,164569.990000000,3,0.999674261,0.015444548,0.002418840,-0.020174319,1,1,1
1779140552010.000000000,2419,164570.010000000,3,0.999699831,0.015609093,0.002844729,-0.018667700,1,1,1
1779140552020.000000000,2419,164570.020000000,3,0.999717355,0.015412043,0.002190837,-0.017968642,1,1,1
1779140552040.000000000,2419,164570.040000000,3,0.999740899,0.015419471,0.003281562,-0.016419424,1,1,1
1779140552050.000000000,2419,164570.050000000,3,0.999745607,0.016182100,0.000754150,-0.015693216,1,1,1
1779140552070.000000000,2419,164570.070000000,3,0.999771118,0.015603166,0.002568620,-0.014410375,1,1,1
1779140552080.000000000,2419,164570.080000000,3,0.999798238,0.014693386,0.001254687,-0.013638173,1,1,1
1779140552100.000000000,2419,164570.100000000,3,0.999803007,0.015515251,0.001446753,-0.012291417,1,1,1
1779140552110.000000000,2419,164570.110000000,3,0.999808133,0.015691979,0.001167079,-0.011667582,1,1,1
1779140552120.000000000,2419,164570.120000000,3,0.999826014,0.014850751,0.001680302,-0.011162668,1,1,1
1779140552140.000000000,2419,164570.140000000,3,0.999840319,0.014657087,0.000343365,-0.010218599,1,1,1
1779140552150.000000000,2419,164570.150000000,3,0.999842048,0.014770950,0.001378958,-0.009790589,1,1,1
1779140552170.000000000,2419,164570.170000000,3,0.999850571,0.014739652,0.000259282,-0.009027750,1,1,1
1779140552180.000000000,2419,164570.180000000,3,0.999855757,0.014553594,0.000091189,-0.008758246,1,1,1
1779140552200.000000000,2419,164570.200000000,3,0.999862731,0.014302043,-0.000466861,-0.008354104,1,1,1
1779140552210.000000000,2419,164570.210000000,3,0.999862611,0.014377427,-0.000521665,-0.008229686,1,1,1
1779140552230.000000000,2419,164570.230000000,3,0.999866664,0.014145144,-0.001039980,-0.008091053,1,1,1
1779140552240.000000000,2419,164570.240000000,3,0.999865711,0.014160957,-0.001614974,-0.008087047,1,1,1
1779140552250.000000000,2419,164570.250000000,3,0.999866664,0.014040211,-0.002062167,-0.008078905,1,1,1
1779140552260.000000000,2419,164570.260000000,3,0.999866128,0.014027474,-0.002208925,-0.008127986,1,1,1
