unix_time_ms,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag
1779391147642,415165.642000000,3,0.904136002,0.008356255,0.023708729,-0.426504582,0
1779391147652,415165.652000000,3,0.905186057,0.008318345,0.023769109,-0.424268752,0
1779391147672,415165.672000000,3,0.906992137,0.008214918,0.023787115,-0.420395076,0
1779391147682,415165.682000000,3,0.905247927,0.008299384,0.023715079,-0.424140185,0
1779391147692,415165.692000000,3,0.903898418,0.008365714,0.023688396,-0.427008867,0
1779391147712,415165.712000000,3,0.904644489,0.008325235,0.023784576,-0.425421298,0
1779391147722,415165.722000000,3,0.908741176,0.008082942,0.023857951,-0.416599244,0
1779391147742,415165.742000000,3,0.905864298,0.008266699,0.023762470,-0.422820210,0
1779391147752,415165.752000000,3,0.905918837,0.008286299,0.023781868,-0.422701925,0
1779391147772,415165.772000000,3,0.907281995,0.008186745,0.023805236,-0.419768691,0
1779391147782,415165.782000000,3,0.905341625,0.008270625,0.023739817,-0.423939377,0
1779391147802,415165.802000000,3,0.906831682,0.008212820,0.023808103,-0.420739800,0
1779391147812,415165.812000000,3,0.906018317,0.008273073,0.023817953,-0.422486842,0
1779391147822,415165.822000000,3,0.905412078,0.008293733,0.023785204,-0.423785836,0
1779391147842,415165.842000000,3,0.905675530,0.008278263,0.023738669,-0.423225611,0
1779391147852,415165.852000000,3,0.906566203,0.008253695,0.023779070,-0.421312362,0
1779391147872,415165.872000000,3,0.906901062,0.008222227,0.023798907,-0.420590758,0
1779391147882,415165.882000000,3,0.909440160,0.008047949,0.023820575,-0.415074050,0
1779391147902,415165.902000000,3,0.905927002,0.008281654,0.023776287,-0.422684669,0
1779391147912,415165.912000000,3,0.905289173,0.008339606,0.023782030,-0.424047768,0
1779391147932,415165.932000000,3,0.907960892,0.008155844,0.023774814,-0.418300569,0
1779391147942,415165.942000000,3,0.906333327,0.008235464,0.023738863,-0.421815813,0
1779391147962,415165.962000000,3,0.907366037,0.008192952,0.023815600,-0.419586331,0
1779391147972,415165.972000000,3,0.904380262,0.008347011,0.023750434,-0.425984412,0
1779391147982,415165.982000000,3,0.908213198,0.008122655,0.023801427,-0.417751640,0
1779391148002,415166.002000000,3,0.906526804,0.008263458,0.023755517,-0.421398282,0
1779391148012,415166.012000000,3,0.903887510,0.008413168,0.023739275,-0.427028120,0
1779391148032,415166.032000000,3,0.906333208,0.008188700,0.023768958,-0.421815276,0
1779391148042,415166.042000000,3,0.905169129,0.008245443,0.023743745,-0.424307823,0
1779391148062,415166.062000000,3,0.905837655,0.008266199,0.023801325,-0.422875255,0
1779391148072,415166.072000000,3,0.906157911,0.008245496,0.023784271,-0.422189653,0
1779391148092,415166.092000000,3,0.904385388,0.008318254,0.023697263,-0.425976992,0
1779391148102,415166.102000000,3,0.905880570,0.008245536,0.023756469,-0.422785968,0
1779391148112,415166.112000000,3,0.904207885,0.008354240,0.023734108,-0.426350892,0
1779391148132,415166.132000000,3,0.905813515,0.008250408,0.023701800,-0.422932863,0
1779391148142,415166.142000000,3,0.904577792,0.008322788,0.023653569,-0.425570667,0
1779391148162,415166.162000000,3,0.903812051,0.008417039,0.023688547,-0.427190691,0
1779391148172,415166.172000000,3,0.903969765,0.008396774,0.023683019,-0.426857412,0
1779391148192,415166.192000000,3,0.905134261,0.008327070,0.023682574,-0.424384028,0
1779391148202,415166.202000000,3,0.906001508,0.008311235,0.023735253,-0.422526628,0
1779391148222,415166.222000000,3,0.905541897,0.008348526,0.023748232,-0.423509419,0
1779391148232,415166.232000000,3,0.905599236,0.008319535,0.023716854,-0.423389196,0
1779391148252,415166.252000000,3,0.904473245,0.008396513,0.023712425,-0.425788105,0
1779391148262,415166.262000000,3,0.907168865,0.008271820,0.023801485,-0.420011669,0
1779391148272,415166.272000000,3,0.906069994,0.008327013,0.023778263,-0.422377199,0
1779391148292,415166.292000000,3,0.907740533,0.008203752,0.023761319,-0.418778360,0
1779391148302,415166.302000000,3,0.905654311,0.008334520,0.023741107,-0.423269778,0
1779391148322,415166.322000000,3,0.906842768,0.008257844,0.023792310,-0.420716077,0
1779391148332,415166.332000000,3,0.906126797,0.008270378,0.023750853,-0.422257841,0
1779391148352,415166.352000000,3,0.905868709,0.008294407,0.023767533,-0.422810018,0
1779391148362,415166.362000000,3,0.905277252,0.008342901,0.023780208,-0.424073279,0
